dist_id,dist_label,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,minority_welfare
P1,unimodal,centrist,Z,47,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,47,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,47,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,47,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,47,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,48,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,A,48,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,48,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,48,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,48,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,49,0.069193,0.848540,0.832914,1.058737,0.747416
P1,unimodal,centrist,A,49,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,49,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,49,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,49,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,50,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,A,50,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,50,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,50,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,50,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,51,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,51,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,51,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,51,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,51,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,52,0.221332,0.882896,0.832914,1.058737,0.698798
P1,unimodal,centrist,A,52,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,52,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,52,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,52,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,53,0.000000,0.786845,0.832914,1.058737,0.633429
P1,unimodal,centrist,A,53,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,53,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,53,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,53,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,54,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,54,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,54,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,54,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,54,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,55,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,55,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,55,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,55,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,55,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,56,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,56,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,56,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,56,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,56,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,57,0.406350,0.924677,0.832914,1.058737,0.801235
P1,unimodal,centrist,A,57,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,57,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,57,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,57,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,58,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,A,58,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,58,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,58,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,58,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,59,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,59,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,59,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,59,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,59,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,60,0.221332,0.882896,0.832914,1.058737,0.698798
P1,unimodal,centrist,A,60,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,60,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,60,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,60,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,61,0.000000,0.718550,0.832914,1.058737,0.353534
P1,unimodal,centrist,A,61,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,61,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,61,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,61,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,62,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,62,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,62,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,62,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,62,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,63,0.221332,0.882896,0.832914,1.058737,0.698798
