date,ticker,open,high,low,close
2025-02-05,TSLA,387.51,388.39,375.53,378.17
2025-02-05,UNH,513.9782,523.6336,505.4366,522.7717
2025-02-05,V,342.1436,345.5848,341.4019,345.5452
2025-02-05,WMT,99.302,101.2062,99.1935,101.0878
2025-02-05,XOM,104.4452,104.7022,103.8361,104.5784
2025-02-06,AAPL,229.8217,232.3157,228.9671,231.7394
2025-02-06,AMD,110.93,112.56,109.02,110.16
2025-02-06,AMZN,238.01,239.66,236.01,238.83
2025-02-06,BAC,45.8672,46.3893,45.6061,46.1572
2025-02-06,COST,1041.613,1054.5092,1035.8593,1042.5951
2025-02-06,CSCO,60.9993,61.0867,60.2711,60.4653
2025-02-06,CVX,144.635,145.6104,141.6714,142.4592
2025-02-06,DIS,110.6562,111.4475,107.9561,110.8639
2025-02-06,GOOGL,188.5154,191.1018,187.7394,190.6044
2025-02-06,GS,630.8847,639.4745,629.8559,638.863
2025-02-06,HD,399.1352,401.9057,397.2978,398.4137
2025-02-06,INTC,19.51,19.7,19.22,19.38
2025-02-06,JNJ,148.544,148.592,147.1909,147.3156
2025-02-06,JPM,265.6164,270.0328,264.388,269.9548
2025-02-06,KO,61.3748,61.4905,60.6898,61.124
2025-02-06,MA,561.9144,565.5074,560.3362,562.9367
2025-02-06,MCD,281.452,286.8187,280.2262,284.1257
2025-02-06,META,703.0591,716.0271,700.6887,709.1447
2025-02-06,MRK,85.5369,85.69,84.0349,84.2358
2025-02-06,MSFT,409.1463,413.2971,409.1463,410.945
2025-02-06,NFLX,100.787,101.635,100.261,101.568
2025-02-06,NVDA,127.23,128.578,125.0233,128.4881
2025-02-06,PEP,137.9432,138.5468,135.774,137.0849
2025-02-06,PFE,24.2321,24.2779,23.6451,23.6909
2025-02-06,PG,163.6142,164.1551,162.3197,163.1408
2025-02-06,SPY,597.325,597.7785,594.0131,597.6503
2025-02-06,TSLA,373.03,375.4,363.18,374.32
2025-02-06,UNH,520.9121,522.0839,508.6905,513.3099
2025-02-06,V,345.8814,346.7417,342.7369,343.6071
2025-02-06,WMT,101.1568,101.6403,100.5747,101.4725
2025-02-06,XOM,105.4255,105.692,102.7796,103.1984
2025-02-07,AAPL,231.1233,232.5144,225.8172,226.1849
2025-02-07,AMD,109.13,109.92,106.79,107.56
2025-02-07,AMZN,232.5,234.81,228.06,229.15
2025-02-07,BAC,46.2539,46.3796,45.8092,45.8285
2025-02-07,COST,1039.7844,1049.4275,1028.3736,1036.6165
2025-02-07,CSCO,60.9216,61.4169,60.407,60.4653
2025-02-07,CVX,143.0031,144.2505,142.478,143.1344
2025-02-07,DIS,110.3892,111.3189,109.5979,109.6474
2025-02-07,GOOGL,190.0573,190.1866,182.2879,184.3769
2025-02-07,GS,640.0083,644.3469,633.9518,636.6113
2025-02-07,HD,397.4902,398.5387,391.0449,391.8818
2025-02-07,INTC,19.35,19.36,19.03,19.1
2025-02-07,JNJ,147.3348,148.2561,146.6343,146.9414
2025-02-07,JPM,270.3155,271.5634,267.8197,268.8824
2025-02-07,KO,61.1915,61.6642,61.0371,61.587
2025-02-07,MA,563.83,565.8051,557.5968,558.5595
2025-02-07,MCD,284.1257,286.5291,283.6045,284.0678
2025-02-07,META,713.9355,722.1127,708.9057,711.6646
2025-02-07,MRK,83.7288,84.762,83.3461,83.4992
2025-02-07,MSFT,411.5973,413.7418,403.3155,404.9462
2025-02-07,NFLX,101.7,102.776,100.567,101.393
2025-02-07,NVDA,129.0273,130.1756,124.8136,129.6464
2025-02-07,PEP,136.7642,136.8963,135.7173,136.3587
2025-02-07,PFE,23.7184,23.8101,23.4158,23.6084
2025-02-07,PG,163.3437,163.3726,162.1651,162.2617
2025-02-07,SPY,598.2123,599.4346,591.4701,592.1798
2025-02-07,TSLA,370.19,380.55,360.34,361.62
